Name of your department or Course,cgpa,non_stem_count,year,Adjusting my learning style for non-STEM courses is more challenging than for STEM courses. (Switching Cost),Switching focus from STEM to non-STEM subjects is mentally exhausting. (Switching Cost),"Non-STEM courses improve my soft skills, such as communication and critical thinking. (Switching Benefit)",Studying non-STEM subjects broadens my overall perspective on learning.,Non-STEM courses significantly increase my academic workload. (Work Overload),Managing both STEM and non-STEM courses is challenging. (Work Overload),I am unsure how non-STEM courses contribute to my academic goals. (Role Ambiguity),I struggle to see the practical application of non-STEM subjects compared to STEM subjects. (Role Ambiguity),Balancing non-STEM and STEM coursework leaves me with less time for personal activities. (Work–Home Conflict),I feel that non-STEM courses are a waste of my time compared to STEM courses. (General Grumbling),"Courses in the humanities (e.g., literature, philosophy) are unnecessary for STEM students.","Social science courses (e.g., sociology, psychology) seem less relevant to my field than STEM subjects.""",I believe non-STEM courses are valuable despite their challenges. (Willingness),I am open to integrating lessons from non-STEM courses into my academic work.  (Willingness),I will likely apply the knowledge I gain from non-STEM courses in my personal or professional life. (Long-Term Adoption),Which non-STEM courses have been most beneficial to you and why?,What challenges have you faced balancing STEM and non-STEM coursework?,Your perspective on STEM versus non-STEM courses. ,gender,cgpa_numeric,year_numeric,non_stem_count_numeric,gender_encoded
CSE (STEM),3.00-3.25,7,4 th year,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,English.beacause for my higher studies english is required.and in university life english is spoken in lectures.,"Time management, recalling,after doing coding non stem subject seems hard to memorize.","While STEM fields create the technology and infrastructure , non-STEM fields provide the context, ethics, and creativity to use that technology effectively. For example, engineers design AI systems, but ethicists and philosophers help navigate their societal implications.",No Response,3.125,4.0,7.0,Other
CSE (STEM),3.25-3.50,8,4th,Agree,Agree,Neutral,Agree,Disagree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Agree,"Financial and Managerial Accounting.  I found having business knowledge is a must having skill for all. Dealing with money, bond,financial statements, business transaction can help an Engineer to saw a product or service from business perspective. Even it helps ones knowledge about the financial decision making. So i found this course worth it.",Some course i found unnecessary. Like arts of living. I bullshit. Waste of both time and money. Scam i would say. You can't teach a undergraduate student how to talk to your parents. This norms people in Bangladesh get from family and surroundings.,Core course at important to build someone to his goals. And most of the setm course ar worthless,No Response,3.375,4.0,8.0,Other
CSE (STEM),2.5-3.00,7,L4T1,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,"Accounting, English ,",Extra pressure and extra money cost,I think we alredy select our main focus subject its cse after completing 12 years of general we alredy delvoped lot of basic and general knowledge form jsc ssc and hac so i think its better to focus on cour corse like international caricullam,No Response,2.75,4.0,7.0,Other
CSE (STEM),3.50-3.75,7,4,Agree,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly disagree,Neutral,Disagree,Neutral,English,Sometime STEM & non-STEM course quiz appeared on same day then I can't give my proper attention to any course,"I think some non-STEM courses are really useful for me but they can be useless to others, and which is useful to other can be useless for me. So I think non-STEM courses should be optional and student can take as there preference.",No Response,3.625,4.0,7.0,Other
CSE (STEM),3.00-3.25,7,4th,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,"English, it helps me in developing my language skills","Kills my time, in which time i can develop my skill on stem courses",Not necessary,No Response,3.125,4.0,7.0,Other
CSE (STEM),3.00-3.25,7,4th,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,"Philosophy for critical thinking, psychology for understanding behavior, history for context, and public speaking for communication. These skills enhance reasoning, awareness, and expression in any field.","Balancing STEM and non-STEM coursework can be challenging due to differing skill sets and workloads. STEM courses often require problem-solving and technical precision, while non-STEM courses emphasize critical thinking and extensive reading or writing. Managing time between rigorous calculations and deep analytical discussions can be difficult, especially when switching between logical and creative thinking. However, finding connections between disciplines helps maintain balance and enhances overall learning.","STEM and non-STEM courses develop different but complementary skills. STEM focuses on problem-solving, logic, and technical precision, while non-STEM strengthens critical thinking, communication, and creativity. Both are essential—STEM drives innovation, and non-STEM provides the context, ethics, and human perspective needed to apply technology meaningfully. A well-rounded education integrates both, leading to more adaptable and insightful individuals.",No Response,3.125,4.0,7.0,Other
CSE (STEM),2.5-3.00,7,4th year,Neutral,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Disagree,Neutral,Accounting,My concentration divide that's why my result are low,We don't need non STAM courses,No Response,2.75,4.0,7.0,Other
CSE (STEM),3.50-3.75,7,2025,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Agree,Economics and Accounting,Cannot  focus  properly my STEM course,Non STEM need but not mendetory for all type of subject but STEM important,No Response,3.625,2025.0,7.0,Other
CSE (STEM),3.25-3.50,6,2025,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,"Accounting, I learned  a lot of thing and enjoy to learn new topics..",When I am a cse students It's really hard to read Bangladesh study..it's totally different and sometimes annoying..,A few subject are good and some are annoying..,No Response,3.375,2025.0,6.0,Other
CSE (STEM),2.5-3.00,7,4th year,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Strongly disagree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,"These non-STEM disciplines complement technical skills by developing essential soft skills that can shape critical thinking, creativity, and emotional intelligence. They contribute to becoming a well-rounded individual capable of navigating complex, dynamic environments.","many students find that the mix of STEM and non-STEM courses provides a more well-rounded education, helping to develop both technical and soft skills. Effective time management, self-discipline, and finding ways to connect ideas across disciplines can help mitigate these difficulties.","Ultimately, combining both can lead to a more fulfilling and versatile education. Students who engage in both types of courses develop a wider range of skills—technical, creative, logical, and emotional—that can be applied across various industries and life situations.",No Response,2.75,4.0,7.0,Other
CSE (STEM),2.5-3.00,6,4th,Neutral,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Agree,Disagree,Neutral,Agree,"English 
(Because in this course we learn how to communicate with other in English)",In non-STEM course there were some tasks that could not be done in non-STEM courses.,STEM,No Response,2.75,4.0,6.0,Other
CSE (STEM),2.5-3.00,7,4th,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Neutral,"Non-STEM courses like Philosophy (critical thinking), History (contextual decision-making), Psychology (understanding behavior), Literature (communication skills), and Economics (decision-making and trade-offs) are highly beneficial. They enhance problem-solving, creativity, and interpersonal skills, which are valuable in any field.","Balancing STEM and non-STEM coursework is challenging due to different thinking styles—structured problem-solving in STEM vs. analytical reading and writing in non-STEM. Time management and shifting between these modes can be difficult, but combining both enhances critical thinking and communication skills.","STEM builds technical and analytical skills, while non-STEM enhances creativity and critical thinking. Together, they create a well-rounded, adaptable perspective.",No Response,2.75,4.0,7.0,Other
CSE (STEM),3.00-3.25,7,4,Agree,Strongly agree,Neutral,Disagree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Disagree,Agree,Neutral,Neutral,Agree,"Economics, because it's lean how to make overall county GDP, GNP etc 
and many others","Mainly focus my STEM course 
and also try to continue balancing non STEM",none,No Response,3.125,4.0,7.0,Other
CSE (STEM),3.50-3.75,5,Final Year (4th),Disagree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Strongly disagree,Strongly agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Accounting. I've learned how to manage finances of an organization or company. I want to work on a startup. I hope that will help me,"From a perspective of a DIU student I don't feel any pressure for balancing my STEM and non-STEM course. But I think if I would have any non-STEM courses I will be more focusing on CS fundamental skills like CP, AI, Development and DevOps","Few of the Non STEM course was beneficial (Accounting, Art of Living, English) but courses like Bangladesh and Global Studies is not Beneficial at all. We have learned those in Highschool. We are learning it again but in English.",No Response,3.625,4.0,5.0,Other
CSE (STEM),Less than 2.5,7 courses,Level 4 Term 1,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,"Art of living,  I larn many things for living life peacefully",Time costing,"I think we Don't need non-STEM subject, we need to focus our STEM subject",No Response,2.25,4.0,7.0,Other
CSE (STEM),2.5-3.00,71,4,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Strongly disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Agree,Neutral,Neutral,Financial and Managerial Accounting	- From here I can learn a lot about business which is helpful for me.,I didn't find it a challenge because anything is possible to achieve good results if you do it right.,"I think there should be two types of courses, one where communication can be taught along with skills.",No Response,2.75,4.0,71.0,Other
CSE (STEM),3.50-3.75,9,4,Agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Neutral,Agree,Agree,Accounting for money management and working professional,Maintain time for both STEM and non STEM courses is a big challange for me,STEM courses are mandatory for technical student while non STEM courses are optional for them.,No Response,3.625,4.0,9.0,Other
CSE (STEM),3.50-3.75,7,4th,Agree,Strongly agree,Disagree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Neutral,"Economics – Help me to understand market trends, consumer behavior, and financial decision-making, which are crucial for busines.",Time management,I am not with non stem courses. I always prefer stem courses.,No Response,3.625,4.0,7.0,Other
CSE (STEM),3.25-3.50,7,4th,Neutral,Agree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Agree,The non-stem course which was most beneficial to me is Accounting. It's a business studies related course.By attending this course I have gained more knowledge about how to do market analysis and also about many businesses related terms.,Time management and laziness.,From my point of view i would say it's a personal choice. This shouldn't be a must to study for everyone about the non-STEM courses,No Response,3.375,4.0,7.0,Other
CSE (STEM),3.75-4.00,7,4th,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,"Finance & Managerial Accounting - I learned about the basics of accounting and Finance. It broaden my outlook how things work practically in the money management sector. It might be beneficial for me if somehow I got a job in management sector in the future. 

English - Improved my listening and speaking skills. In some extent, got to experience the IELTS exam practically.","Well, non-STEM courses are mostly memorizing based education. It was tough memorizing a lot of facts and then write them accordingly in the exams. Reading and understanding them is one thing. But, writing in the exam and getting a decent mark is another.","STEM courses are the fundamentals of how things work at the calculative level and practical level. 
Whether, non-STEM ones are mostly socialism, Humanitarian course.",No Response,3.875,4.0,7.0,Other
CSE (STEM),2.5-3.00,8,4th year,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Accounting,It is not possible to give equal importance,No comment,No Response,2.75,4.0,8.0,Other
CSE (STEM),3.00-3.25,7,Final year,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Agree,I believe Financial and Managerial Accounting is most beneficial,Non-STEM course like history requires a lot of memorising which I dislike,From my experience there's few non-STEM course that I think is useful for my field such as Financial and Managerial Accounting and other like history that I think is not relevant,No Response,3.125,,7.0,Other
CSE (STEM),3.50-3.75,7,4th year,Strongly agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Art of living,Theoretical part ar most challenging to study.,More focused in stem courses .Conceptual knowledge is more important then theoretical learning.That are more essy to understandable.,No Response,3.625,4.0,7.0,Other
CSE (STEM),2.5-3.00,08,Final year,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Agree,"Functional English and English spoken and Economics.. 
Functional English and Spoken English improved my communication, writing, and speaking skills, boosting confidence, clarity, and effectiveness in conversations.

Economics enhanced my understanding of market dynamics, decision-making, and resource management, which is valuable for both personal growth and business strategies","Balancing STEM and non-STEM coursework was challenging due to different learning approaches. STEM required technical focus, while non-STEM demanded creativity, making time management, adapting study methods, and maintaining consistency difficult.","STEM courses develop logical thinking, problem-solving, and technical skills essential for innovation, while non-STEM courses enhance creativity, communication, and critical thinking. A balance between both fosters a well-rounded perspective, preparing individuals for diverse real-world challenges and opportunities.",No Response,2.75,,8.0,Other
CSE (STEM),3.75-4.00,7,4th,Disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,"Art of Living. Because it helps me to improve my social communication skills. That course and the course teacher helps me understand to talk with someone stranger or academically/socially superior than me is no hard task. In worst case scenario that person would shout at me, but chance of that is so narrow. Even this happens so what. I just need to asked that person forgive me and give some advice so that I do not repeat the same. This attitude changed me forever. Now I am more comfortable to talk with my teacher, advisors or any stranger.
Besides that, I also learned how a simple step by me can affect someone so strongly.

Overall this course was life changing for me.",Sometimes prerequisites of non-STEM subjects were not completed by me. So understanding those courses in early stages were difficult.,I believe student should not neglect non-STEM courses. And educator should teach those subjects more interestingly.,No Response,3.875,4.0,7.0,Other
CSE (STEM),3.00-3.25,6,4th,Disagree,Agree,Neutral,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,History and accounting these courses have been most beneficial to me.,"If there are no non STEM Course, i focused on my Skills",Non STEM courses are necessary for us.,No Response,3.125,4.0,6.0,Other
CSE (STEM),3.00-3.25,7,4th,Disagree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,English. improves communication and career benefit,"Different study method, Maintaining interest, Time management.","Stem focus on problem solving, logical reasoning and technical expertise.
Non- stem develops creativity communication cultural awareness.",No Response,3.125,4.0,7.0,Other
CSE (STEM),3.50-3.75,9,4th,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,"Accounting, English courses, Economics
This courses are based on real life needs. Economics and accounting courses were useful to understand financial things also it was beneficial for my steam courses. I also found the art of living course benificial because my course teacher used to give us psychological lessons which I feel made me more empathetic towardsothers.",Time management in case of quizes and assignments.,"We all know that stem courses are beneficial but non stem courses are also benificial because it enhances our outlook, perspectives, real life knowledge.",No Response,3.625,4.0,9.0,Other
CSE (STEM),3.75-4.00,7,4th,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Neutral,Agree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Agree,Strongly agree,"Art of Living,I developed various soft skills that not only make me a better person but also enhance my ability to think differently.","Balancing STEM and non-STEM coursework was challenging for me, as non-STEM courses required extensive reading, and I struggled with managing my time effectively.","I believe non-STEM courses are just as important as STEM courses in our lives. However, they could be structured differently, such as focusing on non-STEM courses in the first two or three semesters before fully transitioning to STEM subjects. Many students are unaware of the benefits of non-STEM courses, so raising awareness should be a top priority.",No Response,3.875,4.0,7.0,Other
CSE (STEM),2.5-3.00,Seven,4th year,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,Agree,"I thought that , without bangladesh studies course  all the course are beneficial for my side to using in real life . If we learn our real hostory and culture for the bd studies that time that course is more beneficial for all.","Some challenges, like  stem course are related for previous course , it teach from basic and leven zero , but non stem course are not same that , this course are different different studies. Some course are buisness related , some are cultural related , some are history , literature. One of the our course is art of living that can help me know how to belong in society, how to behibour and how to mane communication skills. So thats are different.",Its just for main job related learn and other activities.,No Response,2.75,4.0,,Other
CSE (STEM),3.50-3.75,8,4 th year,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Strongly agree,"I think, it is English course. From this course i learnt a lot. This course and course teacher taught me how to speak proficiently  and taught me many more things which i never done this before.","Ahh!! This was so challenging for me. Most of the time NON-STEM courses are organizing  bigger syllabus.To complete this or practice this it takes a  very long time. For this reason, i have isuues to maintain time for my STEM course.",A,No Response,3.625,4.0,8.0,Other
CSE (STEM),2.5-3.00,7,4th,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Neutral,Not any non-stem courses make me feel be,Non-stem courses drop our Cgpa and create more work load,I don't think that non-STEM courses are really needed for STEM students.This is totally a waste of money and time. It breaks down our workflow.,No Response,2.75,4.0,7.0,Other
CSE (STEM),3.50-3.75,7,4,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,English,Nothing,Non stem Good for CGPA,Male,3.625,4.0,7.0,Male
CSE (STEM),2.5-3.00,15,4th,Disagree,Agree,Neutral,Agree,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Math,"Too much Pressure, time",No need some non-Steam courses.,Male,2.75,4.0,15.0,Male
CSE (STEM),3.25-3.50,7,Final,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Agree,Agree,Agree,Art of Living,Not really,Both are important,Female,3.375,,7.0,Female
CSE (STEM),2.5-3.00,10,4th,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Art of living,Workload,Both important in their own way,Male,2.75,4.0,10.0,Male
CSE (STEM),3.50-3.75,7,Fourth Year,Strongly agree,Strongly agree,Strongly disagree,Disagree,Neutral,Agree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Neutral,Agree,Strongly disagree,Art Of leaving. Beacuse Its help to improve my real life behaviour,Team collaboration,"From my perspective as a CSE student, STEM provides the tools and methods, while non-STEM provides the context and meaning. The future belongs to leaders who can integrate both—bridging data with diplomacy, algorithms with ethics, and innovation with inclusivity.",Male,3.625,,7.0,Male
CSE (STEM),3.25-3.50,7,4th,Strongly disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,"AOL, Taught us to talk openly with family",No challenges so far,Non-STEM helped me gain a good SGPA,Male,3.375,4.0,7.0,Male
CSE (STEM),3.25-3.50,7,4th,Neutral,Neutral,Agree,Agree,Disagree,Agree,Strongly disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Accounting,Result grade less for the non-steam subject,Stem,Female,3.375,4.0,7.0,Female
CSE (STEM),2.5-3.00,7,4th,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Disagree,Neutral,Disagree,Art of living,Yes,More Challenges,Male,2.75,4.0,7.0,Male
CSE (STEM),3.00-3.25,7,4th,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Agree,Art of living,I faced overload..Thats it,Non Stem courses are just like cardamom in Biriyani,Male,3.125,4.0,7.0,Male
CSE (STEM),3.75-4.00,7,4,Disagree,Disagree,Agree,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Agree,"Finance and Accounting, this course helped me understanding the financial cycle of a business, how this works. This is important to know to mange money in real life.",Not that much struggle. But sometimes it became a bit time consuming to do better in non-STEM courses.,Both are important in life,Male,3.875,4.0,7.0,Male
CSE (STEM),3.25-3.50,7,4th,Neutral,Neutral,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,"English(1,2), Art of living also History courses. I think basic knowledge about these topics are needed for every student.",Time management,All are needed I think.,Female,3.375,4.0,7.0,Female
CSE (STEM),3.75-4.00,7,4th Year,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Disagree,"I think Art of Living course is Beneficial l. because The Art of Living course helps CS students reduce stress, improve focus, boost creativity, and build soft skills. I also learned how to think out of the box, and how to maintain etiquette and professionalism.","Balancing STEM and non-STEM coursework is challenging because it requires managing different learning styles, heavy time demands, and shifting between logical problem-solving and creative critical thinking.","Both are equally important-STEM gives the tools to build solutions, and non-STEM provides the perspective to apply them effectively in real life.",Male,3.875,4.0,7.0,Male
CSE (STEM),3.75-4.00,7,4th Year,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,"English, it improve my English communication skill.","Because of too much theory, it takes time for memorize.",It is important for improve non technical side.,Female,3.875,4.0,7.0,Female
CSE (STEM),2.5-3.00,50 approximately,4rth,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Art of living. It learnt us the art of living.,I couldn't find interest on non STEM courses.,STEM courses are more important than non STEM courses,Female,2.75,4.0,50.0,Female
CSE (STEM),3.25-3.50,7,4th,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Strongly disagree,Disagree,Agree,Neutral,Neutral,Art of Living,Time management,both are necessary according to my perspective,Male,3.375,4.0,7.0,Male
